Ernie Banks | The only way to prove that you’re a good sport is to lose.
Bill Shoemaker | When you’re riding, only the race in which you’re riding is important.
Jackie Joyner-Kersee | Age is no barrier. It’s a limitation you put on your mind.
Frank L. Gaines | Only he who can see the invisible can do the impossible.
Bruce Jenner | I always felt that my greatest asset was not my physical ability, it was my mental ability.
Mary Lou Retton | A trophy carries dust. Memories last forever.
Pat Tyson | Number one is just to gain a passion for running. To love the morning, to love the trail, to love the pace on the track. And if some kid gets really good at it, that’s cool too.
Ross Perot | Most people give up just when they’re about to achieve success. They quit on the one yard line. They give up at the last minute of the game one foot from a winning touchdown.
Larry Brown | You have to do something in your life that is honorable and not cowardly if you are to live in peace with yourself.
Derek Jeter | There may be people that have more talent than you, but theres no excuse for anyone to work harder than you do.
Ted Williams | Baseball is the only field of endeavor where a man can succeed three times out of ten and be considered a good performer.
Knute Rockne | One man practicing sportsmanship is far better than 50 preaching it.
Ken Doherty | The five S’s of sports training are: stamina, speed, strength, skill, and spirit; but the greatest of these is spirit.
Emil Zatopek | An athlete cannot run with money in his pockets. He must run with hope in his heart and dreams in his head.
Mia Hamm | Somewhere behind the athlete you’ve become and the hours of practice and the coaches who have pushed you is a little girl who fell in love with the game and never looked back… play for her.
Terry Bradshaw | When you’ve got something to prove, there’s nothing greater than a challenge.
Doug Williams | Never give up, never give in, and when the upper hand is ours, may we have the ability to handle the win with the dignity that we absorbed the loss.
Paul “Bear” Bryant | It’s not the will to win that matters—everyone has that. It’s the will to prepare to win that matters.
Marv Levy | Persistence can change failure into extraordinary achievement.
Tom Landry | I’ve learned that something constructive comes from every defeat.
Laird Hamilton | Make sure your worst enemy doesn’t live between your own two ears.
Bo Jackson | Set your goals high, and don’t stop till you get there.
Sandy Koufax | I became a good pitcher when I stopped trying to make them miss the ball and started trying to make them hit it.
Ben Hogan | If you can’t outplay them, outwork them.
Rogers Hornsby | People ask me what I do in winter when there’s no baseball. I’ll tell you what I do. I stare out the window and wait for spring.
William James | Most people never run far enough on their first wind to find out they’ve got a second.
Mike Singletary | Do you know what my favorite part of the game is? The opportunity to play.
M.H. Alderson | If at first you don’t succeed, you are running about average.
Liane Cardes | Continuous effort — not strength or intelligence — is the key to unlocking our potential.
Vin Scully | Good is not good when better is expected.
Tommy Lasorda | The difference between the impossible and the possible lies in a person’s determination.
Billie Jean King | Champions keep playing until they get it right.
Herb Brooks | You were born to be a player. You were meant to be here. This moment is yours.
Don Zimmer | What you lack in talent can be made up with desire, hustle, and giving 110 percent all the time.
Mark Spitz | If you fail to prepare, you’re prepared to fail.
Lou Holtz | How you respond to the challenge in the second half will determine what you become after the game, whether you are a winner or a loser.
Matt Biondi | Persistence can change failure into extraordinary achievement.
George F. Will | Sports serve society by providing vivid examples of excellence.
Steve Young | The principle is competing against yourself. It’s about self-improvement, about being better than you were the day before.
John Madden | The road to Easy Street goes through the sewer.
Arthur Ashe | You are never really playing an opponent. You are playing yourself, your own highest standards, and when you reach your limits, that is real joy.
Andre Agassi | What makes something special is not just what you have to gain, but what you feel there is to lose.
Pele | The more difficult the victory, the greater the happiness in winning.
Sylvester Stallone (Rocky Balboa) | It ain’t about how hard you can hit. It’s about how hard you can get hit, and keep moving forward.
Brett Favre | Most talented players don’t always succeed. Some don’t even make the team. It’s more what’s inside.
Kareem Abdul-Jabbar | One man can be a crucial ingredient on a team, but one man cannot make a team.
George Halas | Nobody who ever gave his best regretted it.
Cal Ripken Jr. | Stubbornness usually is considered a negative; but I think that trait has been a positive for me.
Chris Evert | You’ve got to take the initiative and play your game. In a decisive set, confidence is the difference.
Paul Brown | When you win, say nothing, when you lose, say less.
Eddie Reese | The hardest skill to acquire in this sport is the one where you compete all out, give it all you have, and you are still getting beat no matter what you do. When you have the killer instinct to fight through that, it is very special.
Arnold Schwarzenegger | The mind is the limit. As long as the mind can envision the fact that you can do something, you can do it, as long as you really believe 100 percent.
Joe Frazier | When I go out there, I have no pity on my brother. I am out there to win.
Mickey Mantle | During my 18 years I came to bat almost 10,000 times. I struck out about 1,700 times and walked maybe 1,800 times. You figure a ballplayer will average about 500 at bats a season. That means I played seven years without ever hitting the ball.
Peyton Manning | I never left the field saying I could have done more to get ready and that gives me peace of mind.
Eddie Robinson | Leadership, like coaching, is fighting for the hearts and souls of men and getting them to believe in you.
J. Askenberg | You win some, you lose some, and some get rained out, but you gotta suit up for them all.
Arnold Palmer | Always make a total effort, even when the odds are against you.
Michael Jordan | You have to expect things of yourself before you can do them.
Picabo Street | To uncover your true potential you must first find your own limits and then you have to have the courage to blow past them.
Lou Brock | Show me a guy who’s afraid to look bad, and I’ll show you a guy you can beat every time.
Homer Rice | You can motivate by fear, and you can motivate by reward. But both those methods are only temporary. The only lasting thing is self motivation.
